Algorithm	A step-by-step procedure for solving a problem or performing a computation
Algorithmic complexity	A description (often Big-O) of how resources used by an algorithm scale with input size
Binary search	A divide-and-conquer algorithm that finds an item by repeatedly halving the search interval
Hash table	A data structure that maps keys to values using a hash function for average O(1) access
Deadlock	A situation where two or more processes are blocked forever waiting for resources held by each other
Recursion	When a function calls itself to solve a smaller instance of the same problem
Polymorphism	The ability of different types to be accessed through the same interface in OOP
Concurrency	Multiple computations happening during overlapping time periods
Process	A program in execution, with its own address space
Thread	A lightweight unit of execution within a process
Mutex	A mutual exclusion object that prevents multiple threads from accessing a shared resource simultaneously
Virtual Memory	A memory management technique that provides an "idealized" abstraction of the storage resources
DNS	Domain Name System, which translates domain names to IP addresses
HTTP	Hypertext Transfer Protocol, the foundation of data communication for the web
TCP	Transmission Control Protocol, a reliable connection-oriented protocol
UDP	User Datagram Protocol, a fast but unreliable connectionless protocol
IP	Internet Protocol, responsible for addressing and routing packets
MAC Address	A unique identifier assigned to a network interface controller
Encapsulation	Bundling of data and methods into a single unit (class)
Inheritance	When an object or class is based on another object or class
Abstraction	Hiding the complex implementation details and showing only the necessary features
Compiler	A program that translates source code from a high-level language to a lower-level language
Interpreter	A program that executes instructions directly without prior compilation
Operating System	System software that manages computer hardware, software resources, and provides common services
Kernel	The core part of an OS that manages system resources and hardware communication
File System	A method and data structure that an OS uses to control how data is stored and retrieved
Database	An organized collection of structured information, or data
SQL	Structured Query Language, used for managing relational databases
NoSQL	Non-relational database that provides a mechanism for storage and retrieval of data
Normalization	The process of organizing data in a database to reduce redundancy
Acid Properties	Atomicity, Consistency, Isolation, Durability; ensures database transactions are processed reliably
Indexing	A database optimization technique used to speed up data retrieval operations
REST	Representational State Transfer, an architectural style for designing networked applications
JSON	JavaScript Object Notation, a lightweight data-interchange format
XML	Extensible Markup Language, a markup language that defines a set of rules for encoding documents
API	Application Programming Interface, a set of protocols and tools for building software
Graph	A non-linear data structure consisting of nodes and edges
Tree	A hierarchical data structure with a root node and child nodes
Queue	A first-in, first-out (FIFO) data structure
Stack	A last-in, first-out (LIFO) data structure
Linked List	A linear collection of data elements whose order is not given by their physical placement in memory
Binary Tree	A tree data structure in which each node has at most two children
Array	A data structure consisting of a collection of elements, each identified by at least one array index or key
Quicksort	An efficient, divide-and-conquer sorting algorithm
Mergesort	A stable, divide-and-conquer sorting algorithm
Heap	A specialized tree-based data structure that satisfies the heap property
Primary Key	A unique identifier for each record in a database table
Foreign Key	A field in one table that uniquely identifies a row of another table
Join	A SQL operation used to combine rows from two or more tables
Encryption	The process of encoding information to prevent unauthorized access
Hashing	The process of converting data into a fixed-size string of characters
Public Key Cryptography	A cryptographic system that uses pairs of keys: public keys and private keys
SSL/TLS	Protocols for providing secure communication over a computer network
Firewall	A network security system that monitors and controls incoming and outgoing network traffic
Phishing	The fraudulent practice of sending emails to induce individuals to reveal personal information
Malware	Software that is specifically designed to disrupt, damage, or gain unauthorized access to a computer system
Bit	The smallest unit of data in a computer, with a value of either 0 or 1
Byte	A unit of data that is eight bits long
CPU	Central Processing Unit, the "brain" of the computer
RAM	Random Access Memory, a type of computer memory that can be accessed randomly
ROM	Read-Only Memory, a type of storage medium that permanently stores data
GPU	Graphics Processing Unit, specialized for parallel processing tasks
SSD	Solid-State Drive, a storage device that uses flash memory
Hard Drive	A data storage device that uses magnetic storage to store and retrieve digital information
Motherboard	The main printed circuit board in a computer
BIOS	Basic Input/Output System, firmware used to perform hardware initialization during the booting process
Shell	A user interface for access to an operating system's services
Bash	Bourne Again SHell, a popular Unix shell and command language
PowerShell	A task automation and configuration management framework from Microsoft
Git	A distributed version control system for tracking changes in source code
